repo_name,file,size
niklasf/python-chess,chess\__init__.py,14
coreruleset/coreruleset,util\crs-rules-check\rules-check.py,14
coreruleset/coreruleset,util\change-version\change-version.py,20
bl4de/security-tools,hasher.py,14
bl4de/security-tools,virustotal.py,14
bl4de/security-tools,denumerator\denumerator.py,75
bl4de/security-tools,xmlrpc_amplif_bruteforce.py,26
bl4de/security-tools,redir_gen\redirgen.py,16
bl4de/security-tools,ip_generator.py,14
bl4de/security-tools,Vi\vi.py,21
bl4de/security-tools,hexview\hexview.py,19
bl4de/security-tools,diggit\diggit.py,25
pallets/itsdangerous,src\itsdangerous\timed.py,22
pallets/itsdangerous,src\itsdangerous\signer.py,29
alejandroautalan/pygubu,src\pygubu\component\plugin_engine.py,23
alejandroautalan/pygubu,src\pygubu\plugins\awesometkinter\designer\properties.py,25
alejandroautalan/pygubu,src\pygubu\plugins\tkintertable\__init__.py,14
alejandroautalan/pygubu,src\pygubu\plugins\tksheet\__init__.py,14
alejandroautalan/pygubu,src\pygubu\plugins\awesometkinter\__init__.py,14
alejandroautalan/pygubu,src\pygubu\theming\photodraw.py,291
alejandroautalan/pygubu,src\pygubu\widgets\dockfw\dockframe.py,14
alejandroautalan/pygubu,src\pygubu\plugins\tkcalendar\basecalendar.py,15
alejandroautalan/pygubu,src\pygubu\plugins\tkmt\designer\properties.py,15
alejandroautalan/pygubu,src\pygubu\plugins\ttkwidgets\font.py,25
alejandroautalan/pygubu,src\pygubu\plugins\ttk\ttkstdwidgets.py,15
alejandroautalan/pygubu,src\pygubu\widgets\dockfw\framework.py,53
alejandroautalan/pygubu,src\pygubu\builder.py,29
alejandroautalan/pygubu,src\pygubu\plugins\tkmt\__init__.py,14
alejandroautalan/pygubu,src\pygubu\plugins\ttkwidgets\itemscanvas.py,14
alejandroautalan/pygubu,src\pygubu\plugins\tkcalendar\__init__.py,14
alejandroautalan/pygubu,src\pygubu\plugins\tkintermapview\__init__.py,14
alejandroautalan/pygubu,src\pygubu\plugins\customtkinter\__init__.py,14
alejandroautalan/pygubu,src\pygubu\plugins\ttkwidgets\utils.py,14
alejandroautalan/pygubu,src\pygubu\plugins\ttkwidgets\table.py,15
alejandroautalan/pygubu,src\pygubu\plugins\tkinterweb\__init__.py,14
alejandroautalan/pygubu,src\pygubu\plugins\pygubu\designer\properties.py,15
alejandroautalan/pygubu,src\pygubu\plugins\pygubu\designer\basehelpers.py,118
alejandroautalan/pygubu,src\pygubu\component\uidefinition.py,59
alejandroautalan/pygubu,src\pygubu\theming\bootstrap\builder.py,14
alejandroautalan/pygubu,src\pygubu\component\builderobject.py,14
alejandroautalan/pygubu,src\pygubu\plugins\ttkwidgets\__init__.py,14
alejandroautalan/pygubu,src\pygubu\plugins\tk\tkstdwidgets.py,14
alejandroautalan/pygubu,src\pygubu\widgets\calendarframe.py,75
RNAcentral/rnacentral-import-pipeline,bin\litscan-retracted-articles.py,14
RNAcentral/rnacentral-import-pipeline,bin\litscan-create-xml-metadata.py,15
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\rnacentral\genome_mapping\blat.py,27
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\utils.py,15
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\databases\evlncrnas\lookup.py,15
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\databases\psi_mi\tab.py,13
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\databases\evlncrnas\parser.py,15
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\databases\mgnify\prepare.py,15
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\databases\plncdb\parser.py,15
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\databases\hgnc\helpers.py,14
RNAcentral/rnacentral-import-pipeline,bin\litscan-get-statistics.py,15
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\cli\ensembl.py,16
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\rnacentral\r2dt\parser.py,14
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\rnacentral\genome_mapping\igv.py,14
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\databases\europepmc\stream.py,14
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\databases\tmrna\helpers.py,15
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\rnacentral\precompute\utils.py,15
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\rnacentral\search_export\compare.py,15
kianby/stacosys,src\stacosys\service\mail.py,22
clchiou/garage,python\g1\operations\cores\g1\operations\cores\pod_cmds.py,0
clchiou/garage,python\g1\operations\cores\g1\operations\cores\alerts.py,0
clchiou/garage,shipyard2\shipyard2\releases\apps.py,0
clchiou/garage,python\g1\third-party\capnp\capnp\objects.py,0
clchiou/garage,python\g1\apps\g1\apps\parameters.py,0
clchiou/garage,python\g1\bases\g1\bases\dataclasses.py,0
clchiou/garage,python\g1\containers\g1\containers\apps.py,0
clchiou/garage,python\g1\containers\g1\containers\builders.py,0
clchiou/garage,python\g1\operations\cores\g1\operations\cores\token_cmds.py,0
clchiou/garage,python\g1\http\clients\g1\http\clients\recvfiles.py,0
clchiou/garage,python\g1\messaging\g1\messaging\wiredata\jsons.py,0
clchiou/garage,python\g1\operations\cores\g1\operations\cores\apps.py,0
clchiou/garage,python\g1\http\servers\g1\http\servers\wsgi.py,0
clchiou/garage,python\g1\third-party\capnp\capnp\dynamics.py,0
clchiou/garage,python\g1\third-party\capnp\capnp\schemas.py,0
sukeesh/Jarvis,jarviscli\plugins\website_status.py,0
sukeesh/Jarvis,jarviscli\plugins\history.py,0
sukeesh/Jarvis,jarviscli\plugins\wiki.py,0
sukeesh/Jarvis,jarviscli\plugins\get_host_info.py,0
sukeesh/Jarvis,jarviscli\plugins\pdftoimg.py,0
sukeesh/Jarvis,jarviscli\plugins\wifi_password_getter.py,0
sukeesh/Jarvis,jarviscli\plugins\weather_report.py,0
sukeesh/Jarvis,jarviscli\plugins\bmi.py,0
sukeesh/Jarvis,jarviscli\plugins\ip.py,0
sukeesh/Jarvis,jarviscli\plugins\upside_down.py,0
sukeesh/Jarvis,jarviscli\plugins\open.py,0
sukeesh/Jarvis,jarviscli\plugins\converted.py,0
sukeesh/Jarvis,jarviscli\plugins\currency_conv.py,0
sukeesh/Jarvis,installer\steps\e_launcher.py,0
sukeesh/Jarvis,jarviscli\plugins\blackjack.py,0
sukeesh/Jarvis,jarviscli\plugins\mips_conv.py,0
sukeesh/Jarvis,installer\steps\b_pip.py,0
sukeesh/Jarvis,jarviscli\plugins\moon_phase.py,0
sukeesh/Jarvis,jarviscli\plugins\file_manager.py,0
sukeesh/Jarvis,jarviscli\packages\weather_pinpoint.py,0
sukeesh/Jarvis,jarviscli\plugins\bmr.py,0
sukeesh/Jarvis,jarviscli\plugins\dictionary.py,0
sukeesh/Jarvis,jarviscli\plugins\flightradar.py,0
sukeesh/Jarvis,jarviscli\plugins\yeelight.py,0
sukeesh/Jarvis,jarviscli\plugins\guess_number_game.py,0
sukeesh/Jarvis,jarviscli\utilities\textParser.py,0
sukeesh/Jarvis,jarviscli\plugins\check_if_game_runs_on_linux.py,0
sukeesh/Jarvis,jarviscli\plugins\memory.py,0
sukeesh/Jarvis,jarviscli\plugins\imgur.py,0
sukeesh/Jarvis,jarviscli\plugins\gmail.py,0
sukeesh/Jarvis,jarviscli\plugins\matrix_add.py,0
sukeesh/Jarvis,jarviscli\plugins\pi.py,0
sukeesh/Jarvis,jarviscli\plugins\taste_dive.py,0
sukeesh/Jarvis,installer\__main__.py,0
sukeesh/Jarvis,jarviscli\plugins\lyrics.py,0
sukeesh/Jarvis,jarviscli\plugins\top_media.py,0
sukeesh/Jarvis,jarviscli\plugins\rockpaperscissors.py,0
sukeesh/Jarvis,jarviscli\plugins\news.py,0
sukeesh/Jarvis,jarviscli\plugins\qr_generator.py,0
sukeesh/Jarvis,jarviscli\plugins\fruit_nutrition.py,0
sukeesh/Jarvis,jarviscli\plugins\balut.py,0
sukeesh/Jarvis,jarviscli\plugins\voice_control.py,0
sukeesh/Jarvis,installer\steps\a_setup_virtualenv.py,0
sukeesh/Jarvis,jarviscli\plugins\create_plugin.py,0
sukeesh/Jarvis,jarviscli\plugins\routine.py,0
sukeesh/Jarvis,jarviscli\plugins\cricket.py,0
sukeesh/Jarvis,jarviscli\plugins\timeconv.py,0
sukeesh/Jarvis,jarviscli\plugins\element.py,0
sukeesh/Jarvis,jarviscli\plugins\project_euler.py,0
sukeesh/Jarvis,jarviscli\plugins\countryinfo.py,0
sukeesh/Jarvis,jarviscli\plugins\weekday.py,0
sukeesh/Jarvis,jarviscli\plugins\bulkresize.py,0
sukeesh/Jarvis,jarviscli\plugins\spinthewheel.py,0
sukeesh/Jarvis,jarviscli\plugins\temp_conv.py,0
sukeesh/Jarvis,jarviscli\plugins\buy.py,0
sukeesh/Jarvis,installer\steps\d_optional.py,0
sukeesh/Jarvis,jarviscli\plugins\cocktail.py,0
sukeesh/Jarvis,jarviscli\plugins\twitter_trends.py,0
sukeesh/Jarvis,jarviscli\plugins\reminder.py,0
sukeesh/Jarvis,jarviscli\utilities\notification.py,0
sukeesh/Jarvis,jarviscli\plugins\imgcompressor.py,0
sukeesh/Jarvis,jarviscli\plugins\evaluator.py,0
sukeesh/Jarvis,jarviscli\plugins\stock.py,0
sukeesh/Jarvis,jarviscli\packages\memory\memory.py,0
sukeesh/Jarvis,jarviscli\plugins\trivia.py,0
sukeesh/Jarvis,installer\steps\c_nltk.py,0
sukeesh/Jarvis,jarviscli\plugins\food_recipe.py,0
sukeesh/Jarvis,jarviscli\plugins\speed_conv.py,0
sukeesh/Jarvis,jarviscli\plugins\workout.py,0
sukeesh/Jarvis,jarviscli\plugins\morse_code.py,0
sukeesh/Jarvis,jarviscli\plugins\wordgame.py,0
sukeesh/Jarvis,jarviscli\plugins\expression_checker.py,0
sukeesh/Jarvis,jarviscli\plugins\motivate.py,0
sukeesh/Jarvis,jarviscli\plugins\tic_tac_toe.py,0
sukeesh/Jarvis,jarviscli\plugins\battery.py,0
sukeesh/Jarvis,jarviscli\plugins\distance.py,0
sukeesh/Jarvis,jarviscli\packages\timeIn.py,0
sukeesh/Jarvis,jarviscli\plugins\quote.py,0
sukeesh/Jarvis,jarviscli\plugins\curl.py,0
sukeesh/Jarvis,jarviscli\plugins\goodreads.py,0
sukeesh/Jarvis,jarviscli\plugins\connect_four.py,0
sukeesh/Jarvis,jarviscli\plugins\hangman.py,0
sukeesh/Jarvis,jarviscli\plugins\file_organise.py,0
sukeesh/Jarvis,jarviscli\plugins\write_agenda.py,0
sukeesh/Jarvis,jarviscli\plugins\akinator.py,0
sukeesh/Jarvis,jarviscli\plugins\agify.py,0
sukeesh/Jarvis,installer\unix_windows.py,0
mralext20/alex-bot,alexBot\disabled\bots.py,29
mralext20/alex-bot,alexBot\cogs\reminders.py,228
mralext20/alex-bot,alexBot\cogs\fun.py,13
mralext20/alex-bot,bot.py,17
mralext20/alex-bot,alexBot\cogs\utils.py,17
mralext20/alex-bot,alexBot\cogs\flight.py,86
mralext20/alex-bot,alexBot\cogs\mudae.py,47
mralext20/alex-bot,alexBot\cogs\configs.py,14
mralext20/alex-bot,alexBot\cogs\errors.py,114
mralext20/alex-bot,alexBot\cogs\voiceStats.py,31
mralext20/alex-bot,alexBot\cogs\smartHome.py,72
mralext20/alex-bot,alexBot\cogs\voiceTTS.py,69
mralext20/alex-bot,alexBot\cogs\voiceCommands.py,131
mralext20/alex-bot,alexBot\cogs\voicePrivVC.py,27
mralext20/alex-bot,alexBot\cogs\sugery.py,16
pmbarrett314/curses-menu,examples\issues\issue37.py,13
gabfl/vault,src\views\setup.py,0
gabfl/vault,src\tools\troubleshoot_db.py,0
gabfl/vault,src\views\menu.py,0
gabfl/vault,src\lib\Config.py,0
gabfl/vault,src\modules\autocomplete.py,0
gabfl/vault,src\modules\misc.py,0
gabfl/vault,src\views\import_export.py,0
gabfl/vault,src\views\migration.py,0
gabfl/vault,src\views\categories.py,0
TheReverend403/cappuccino,cappuccino\urlinfo.py,153
TheReverend403/cappuccino,cappuccino\lastfm.py,112
TheReverend403/cappuccino,cappuccino\triggers.py,42
TheReverend403/cappuccino,cappuccino\rice.py,197
bioconda/bioconda-utils,bioconda_utils\artifacts.py,14
bioconda/bioconda-utils,versioneer.py,105
bioconda/bioconda-utils,bioconda_utils\bioconductor_skeleton.py,14
bioconda/bioconda-utils,bioconda_utils\githandler.py,13
bioconda/bioconda-utils,bioconda_utils\build.py,153
bioconda/bioconda-utils,bioconda_utils\update_pinnings.py,38
bioconda/bioconda-utils,bioconda_utils\recipe.py,53
bioconda/bioconda-utils,bioconda_utils\utils.py,55
bioconda/bioconda-utils,bioconda_utils\cli.py,17
bioconda/bioconda-utils,bioconda_utils\autobump.py,73
stanford-oval/storm,frontend\demo_light\pages_util\CreateNewArticle.py,0
stanford-oval/storm,examples\helper\process_kaggle_arxiv_abstract_dataset.py,0
stanford-oval/storm,frontend\demo_light\storm.py,0
cmu-delphi/delphi-epidata/,src\acquisition\quidel\quidel.py,0
cmu-delphi/delphi-epidata/,src\server\endpoints\sensors.py,0
cmu-delphi/delphi-epidata/,src\acquisition\cdcp\cdc_upload.py,0
cmu-delphi/delphi-epidata/,src\server\_printer.py,0
cmu-delphi/delphi-epidata/,src\acquisition\paho\paho_db_update.py,0
cmu-delphi/delphi-epidata/,src\maintenance\covidcast_meta_cache_updater.py,0
cmu-delphi/delphi-epidata/,src\acquisition\covidcast\csv_importer.py,0
cmu-delphi/delphi-epidata/,src\server\_limiter.py,0
cmu-delphi/delphi-epidata/,src\server\covidcast_issues_migration\proc_db_backups_pd.py,0
cmu-delphi/delphi-epidata/,src\maintenance\remove_outdated_keys.py,0
cmu-delphi/delphi-epidata/,src\acquisition\covid_hosp\common\database.py,0
cmu-delphi/delphi-epidata/,src\acquisition\wiki\wiki_util.py,0
cmu-delphi/delphi-epidata/,src\acquisition\fluview\impute_missing_values.py,0
cmu-delphi/delphi-epidata/,scripts\report_missing_covidcast_meta.py,0
cmu-delphi/delphi-epidata/,src\acquisition\nidss\taiwan_update.py,0
cmu-delphi/delphi-epidata/,src\client\delphi_epidata.py,0
cmu-delphi/delphi-epidata/,src\server\endpoints\fluview_meta.py,0
cmu-delphi/delphi-epidata/,src\server\endpoints\covidcast.py,0
cmu-delphi/delphi-epidata/,src\server\endpoints\covidcast_meta.py,0
cmu-delphi/delphi-epidata/,src\server\utils\__init__.py,0
cmu-delphi/delphi-epidata/,src\maintenance\update_last_usage.py,0
cmu-delphi/delphi-epidata/,src\acquisition\ght\google_health_trends.py,0
cmu-delphi/delphi-epidata/,src\server\endpoints\covid_hosp_facility_lookup.py,0
cmu-delphi/delphi-epidata/,src\server\_pandas.py,0
cmu-delphi/delphi-epidata/,src\server\endpoints\covidcast_utils\meta.py,0
cmu-delphi/delphi-epidata/,src\acquisition\kcdc\kcdc_update.py,0
cmu-delphi/delphi-epidata/,src\acquisition\wiki\wiki_download.py,0
cmu-delphi/delphi-epidata/,src\server\main.py,0
cmu-delphi/delphi-epidata/,src\server\_exceptions.py,0
cmu-delphi/delphi-epidata/,src\server\_query.py,0
cmu-delphi/delphi-epidata/,src\acquisition\twtr\healthtweets.py,0
cmu-delphi/delphi-epidata/,src\maintenance\signal_dash_data_generator.py,0
cmu-delphi/delphi-epidata/,src\server\endpoints\covid_hosp_facility.py,0
cmu-delphi/delphi-epidata/,src\acquisition\ght\ght_update.py,0
cmu-delphi/delphi-epidata/,src\server\endpoints\delphi.py,0
cmu-delphi/delphi-epidata/,src\common\covidcast_row.py,0
cmu-delphi/delphi-epidata/,src\acquisition\covid_hosp\common\utils.py,0
akrherz/iembot,src\iembot\iemchatbot.py,194
akrherz/iembot,src\iembot\basicbot.py,118
akrherz/iembot,src\iembot\util.py,13
Hipo/university-domains-list,filter.py,18
AndreiDrang/python-rucaptcha,src\python_rucaptcha\re_captcha.py,15
AndreiDrang/python-rucaptcha,src\python_rucaptcha\lemin_captcha.py,22
AndreiDrang/python-rucaptcha,src\python_rucaptcha\tencent.py,25
AndreiDrang/python-rucaptcha,src\python_rucaptcha\rotate_captcha.py,15
AndreiDrang/python-rucaptcha,src\python_rucaptcha\mt_captcha.py,20
AndreiDrang/python-rucaptcha,src\python_rucaptcha\key_captcha.py,15
AndreiDrang/python-rucaptcha,src\python_rucaptcha\capy_puzzle.py,21
AndreiDrang/python-rucaptcha,src\python_rucaptcha\datadome_captcha.py,18
AndreiDrang/python-rucaptcha,src\python_rucaptcha\amazon_waf.py,15
AndreiDrang/python-rucaptcha,src\python_rucaptcha\cutcaptcha.py,22
AndreiDrang/python-rucaptcha,src\python_rucaptcha\hcaptcha.py,21
AndreiDrang/python-rucaptcha,src\python_rucaptcha\turnstile.py,15
AndreiDrang/python-rucaptcha,docs\conf.py,16
alchemistry/alchemlyb,docs\conf.py,15
alchemistry/alchemlyb,src\alchemlyb\visualisation\dF_state.py,0
alchemistry/alchemlyb,src\alchemlyb\workflows\abfe.py,0
alchemistry/alchemlyb,src\alchemlyb\parsing\gmx.py,0
alchemistry/alchemlyb,src\alchemlyb\parsing\namd.py,0
alchemistry/alchemlyb,src\alchemlyb\parsing\amber.py,25
alchemistry/alchemlyb,src\alchemlyb\parsing\util.py,15
alchemistry/alchemlyb,src\alchemlyb\visualisation\ti_dhdl.py,0
progettowinstonsmith/e-privacy-site,sync-sheet.py,94
progettowinstonsmith/e-privacy-site,sync-sheet-on-org.py,58
SublimeText/PackageDev,plugins\create_package.py,16
SublimeText/PackageDev,plugins\new_resource_file\__init__.py,11
SublimeText/PackageDev,plugins\lib\fileconv\dumpers.py,24
SublimeText/PackageDev,plugins\syntax_dev\completions.py,66
SublimeText/PackageDev,plugins\lib\fileconv\loaders.py,15
SublimeText/PackageDev,plugins\command_completions\__init__.py,14
materialsproject/MPContribs,mpcontribs-portal\mpcontribs\users\als_beamline\scripts\__main__.py,0
materialsproject/MPContribs,mpcontribs-api\mpcontribs\api\projects\document.py,33
materialsproject/MPContribs,mpcontribs-io\mpcontribs\io\archie\mpfile.py,0
materialsproject/MPContribs,mpcontribs-api\mpcontribs\api\core.py,541
materialsproject/MPContribs,mpcontribs-portal\mpcontribs\users\redox_thermo_csp\pre_submission.py,0
materialsproject/MPContribs,mpcontribs-api\mpcontribs\api\attachments\document.py,15
materialsproject/MPContribs,mpcontribs-api\mpcontribs\api\contributions\document.py,14
materialsproject/MPContribs,mpcontribs-io\mpcontribs\io\core\mpfile.py,0
materialsproject/MPContribs,mpcontribs-api\gunicorn.conf.py,20
materialsproject/MPContribs,mpcontribs-io\mpcontribs\io\core\components\tdata.py,0
materialsproject/MPContribs,mpcontribs-portal\mpcontribs\users\dilute_solute_diffusion\pre_submission.py,0
materialsproject/MPContribs,mpcontribs-api\mpcontribs\api\notebooks\views.py,186
materialsproject/MPContribs,mpcontribs-portal\gunicorn.conf.py,0
materialsproject/MPContribs,mpcontribs-portal\mpcontribs\users\qmcdb\main\views.py,0
brechtm/rinohtype,src\rinoh\font\type1.py,80
brechtm/rinohtype,src\rinoh\style.py,191
brechtm/rinohtype,src\rinoh\font\opentype\required.py,55
brechtm/rinohtype,src\rinoh\reference.py,48
brechtm/rinohtype,src\rinoh\attribute.py,35
brechtm/rinohtype,src\rinoh\__main__.py,299
brechtm/rinohtype,src\rinoh\image.py,23
brechtm/rinohtype,src\rinoh\font\opentype\cff.py,18
brechtm/rinohtype,src\rinoh\backend\pdf\filter.py,43
brechtm/rinohtype,src\rinoh\table.py,14
brechtm/rinohtype,src\rinoh\backend\pdf\xobject\purepng.py,51
brechtm/rinohtype,src\rinoh\flowable.py,52
brechtm/rinohtype,src\rinoh\font\mapping.py,0
brechtm/rinohtype,src\rinoh\paragraph.py,103
brechtm/rinohtype,src\rinoh\backend\pdf\reader.py,73
